,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_status
17965,1993-09-08,Faroe Islands,Romania,0,4,FIFA World Cup qualification,Toftir,Faroe Islands,False,2
17966,1993-09-08,Finland,France,0,2,FIFA World Cup qualification,Tampere,Finland,False,2
17967,1993-09-08,Hungary,Russia,1,3,FIFA World Cup qualification,Budapest,Hungary,False,2
17968,1993-09-08,Iceland,Luxembourg,1,0,FIFA World Cup qualification,Reykjavík,Iceland,False,2
17969,1993-09-08,Republic of Ireland,Lithuania,2,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,2
17970,1993-09-08,Northern Ireland,Latvia,2,0,FIFA World Cup qualification,Belfast,Northern Ireland,False,2
17972,1993-09-08,Scotland,Switzerland,1,1,FIFA World Cup qualification,Aberdeen,Scotland,False,2
17973,1993-09-08,Spain,Chile,2,0,Friendly,Alicante,Spain,False,2
17974,1993-09-08,Wales,Czech Republic,2,2,FIFA World Cup qualification,Cardiff,Wales,False,2
17975,1993-09-12,Uruguay,Bolivia,2,1,FIFA World Cup qualification,Montevideo,Uruguay,False,2
17976,1993-09-12,Venezuela,Ecuador,2,1,FIFA World Cup qualification,Puerto Ordaz,Venezuela,False,2
17977,1993-09-15,Morocco,Mali,3,0,Friendly,Casablanca,Morocco,False,2
17978,1993-09-17,Saudi Arabia,Thailand,4,0,Friendly,Dammam,Saudi Arabia,False,2
17979,1993-09-19,Brazil,Uruguay,2,0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False,2
17980,1993-09-19,Ecuador,Bolivia,1,1,FIFA World Cup qualification,Guayaquil,Ecuador,False,2
17981,1993-09-19,Zimbabwe,Senegal,2,0,Friendly,Harare,Zimbabwe,False,2
17982,1993-09-20,Saudi Arabia,Thailand,3,0,Friendly,Dammam,Saudi Arabia,False,2
17983,1993-09-22,Albania,Spain,1,5,FIFA World Cup qualification,Tirana,Albania,False,2
17984,1993-09-22,Estonia,Italy,0,3,FIFA World Cup qualification,Tallinn,Estonia,False,2
17985,1993-09-22,Mexico,Cameroon,1,0,Friendly,Los Angeles,United States,True,2
17986,1993-09-22,Norway,Poland,1,0,FIFA World Cup qualification,Oslo,Norway,False,2
17987,1993-09-22,Romania,Israel,1,0,Friendly,Bucharest,Romania,False,2
17988,1993-09-22,San Marino,Netherlands,0,7,FIFA World Cup qualification,Bologna,Italy,True,2
17989,1993-09-22,Tunisia,Germany,1,1,Friendly,Tunis,Tunisia,False,2
17990,1993-09-23,Saudi Arabia,Costa Rica,1,2,Friendly,Khobar,Saudi Arabia,False,2
17994,1993-09-26,Zambia,Senegal,4,0,FIFA World Cup qualification,Lusaka,Zambia,False,2
17995,1993-09-26,Zimbabwe,Guinea,1,0,FIFA World Cup qualification,Harare,Zimbabwe,False,2
17996,1993-09-27,Saudi Arabia,Costa Rica,3,2,Friendly,Khobar,Saudi Arabia,False,2
17997,1993-09-29,Mexico,Poland,0,0,Friendly,Oakland,United States,True,2
17998,1993-10-01,Morocco,Gabon,1,0,Friendly,Rabat,Morocco,False,2
18000,1993-10-05,Cyprus,Israel,2,2,Friendly,Limassol,Cyprus,False,2
18001,1993-10-06,Belgium,Gabon,2,1,Friendly,Brussels,Belgium,False,2
18002,1993-10-06,Mexico,South Africa,4,0,Friendly,Los Angeles,United States,True,2
18003,1993-10-06,Saudi Arabia,Russia,4,2,Friendly,Khobar,Saudi Arabia,False,2
18004,1993-10-08,Algeria,Nigeria,1,1,FIFA World Cup qualification,Algiers,Algeria,False,2
18005,1993-10-10,Cameroon,Zimbabwe,3,1,FIFA World Cup qualification,Yaoundé,Cameroon,False,2
18006,1993-10-10,Morocco,Zambia,1,0,FIFA World Cup qualification,Casablanca,Morocco,False,2
18007,1993-10-12,Luxembourg,Greece,1,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,2
18008,1993-10-13,Bulgaria,Austria,4,1,FIFA World Cup qualification,Sofia,Bulgaria,False,2
18009,1993-10-13,Denmark,Northern Ireland,1,0,FIFA World Cup qualification,Copenhagen,Denmark,False,2
18010,1993-10-13,France,Israel,2,3,FIFA World Cup qualification,Paris,France,False,2
18011,1993-10-13,Germany,Uruguay,5,0,Friendly,Karlsruhe,Germany,False,2
18012,1993-10-13,Republic of Ireland,Spain,1,3,FIFA World Cup qualification,Dublin,Republic of Ireland,False,2
18013,1993-10-13,Italy,Scotland,3,1,FIFA World Cup qualification,Rome,Italy,False,2
18014,1993-10-13,Netherlands,England,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,False,2
18015,1993-10-13,Poland,Norway,0,3,FIFA World Cup qualification,Poznań,Poland,False,2
18016,1993-10-13,Portugal,Switzerland,1,0,FIFA World Cup qualification,Porto,Portugal,False,2
18017,1993-10-13,Romania,Belgium,2,1,FIFA World Cup qualification,Bucharest,Romania,False,2
18019,1993-10-13,Sweden,Finland,3,2,FIFA World Cup qualification,Solna,Sweden,False,2
18021,1993-10-13,Wales,Cyprus,2,0,FIFA World Cup qualification,Cardiff,Wales,False,2
18023,1993-10-15,Saudi Arabia,Japan,0,0,FIFA World Cup qualification,Doha,Qatar,True,2
18026,1993-10-17,Tunisia,Iceland,3,1,Friendly,Tunis,Tunisia,False,2
18030,1993-10-20,Mexico,Ukraine,2,1,Friendly,San Diego,United States,True,2
18035,1993-10-24,Burundi,Guinea,0,0,African Cup of Nations qualification,Libreville,Gabon,True,2
18036,1993-10-24,Iraq,Saudi Arabia,1,1,FIFA World Cup qualification,Doha,Qatar,True,2
18039,1993-10-26,Liechtenstein,Estonia,0,2,Friendly,Balzers,Liechtenstein,False,2
18040,1993-10-26,United Arab Emirates,Jordan,2,1,Friendly,Al Ain,United Arab Emirates,False,2
18041,1993-10-27,Czech Republic,Cyprus,3,0,FIFA World Cup qualification,Košice,Slovakia,True,2
18042,1993-10-27,Hungary,Luxembourg,1,0,FIFA World Cup qualification,Budapest,Hungary,False,2
18043,1993-10-27,Israel,Austria,1,1,FIFA World Cup qualification,Ramat-Gan,Israel,False,2
18044,1993-10-27,Turkey,Poland,2,1,FIFA World Cup qualification,Istanbul,Turkey,False,2
18045,1993-10-28,Iraq,Japan,2,2,FIFA World Cup qualification,Doha,Qatar,True,2
18048,1993-10-28,United Arab Emirates,Jordan,0,2,Friendly,Al Ain,United Arab Emirates,False,2
18049,1993-10-31,Australia,Argentina,1,1,FIFA World Cup qualification,Sydney,Australia,False,2
18050,1993-11-03,Mexico,China PR,3,0,Friendly,San Diego,United States,True,2
18051,1993-11-05,Egypt,Malta,3,0,Friendly,Tunis,Tunisia,True,2
18052,1993-11-05,Tunisia,Gabon,4,0,Friendly,Tunis,Tunisia,False,2
18053,1993-11-07,Gabon,Malta,1,2,Friendly,Tunis,Tunisia,True,2
18054,1993-11-07,Tunisia,Egypt,2,1,Friendly,Tunis,Tunisia,False,2
18056,1993-11-10,Austria,Sweden,1,1,FIFA World Cup qualification,Vienna,Austria,False,2
18057,1993-11-10,Israel,Finland,1,3,FIFA World Cup qualification,Ramat-Gan,Israel,False,2
18058,1993-11-10,Portugal,Estonia,3,0,FIFA World Cup qualification,Lisbon,Portugal,False,2
18059,1993-11-10,Turkey,Norway,2,1,FIFA World Cup qualification,Istanbul,Turkey,False,2
18062,1993-11-16,Slovakia,Slovenia,2,0,Friendly,Prievidza,Slovakia,False,2
18063,1993-11-17,Argentina,Australia,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,2
18064,1993-11-17,Belgium,Czech Republic,0,0,FIFA World Cup qualification,Brussels,Belgium,False,2
18065,1993-11-17,France,Bulgaria,1,2,FIFA World Cup qualification,Paris,France,False,2
18066,1993-11-17,Germany,Brazil,2,1,Friendly,Cologne,Germany,False,2
18067,1993-11-17,Greece,Russia,1,0,FIFA World Cup qualification,Athens,Greece,False,2
18068,1993-11-17,Italy,Portugal,1,0,FIFA World Cup qualification,Milan,Italy,False,2
18069,1993-11-17,Malta,Scotland,0,2,FIFA World Cup qualification,Attard,Malta,False,2
18070,1993-11-17,Northern Ireland,Republic of Ireland,1,1,FIFA World Cup qualification,Belfast,Northern Ireland,False,2
18071,1993-11-17,Poland,Netherlands,1,3,FIFA World Cup qualification,Poznań,Poland,False,2
18072,1993-11-17,San Marino,England,1,7,FIFA World Cup qualification,Bologna,Italy,True,2
18073,1993-11-17,Spain,Denmark,1,0,FIFA World Cup qualification,Seville,Spain,False,2
18074,1993-11-17,Switzerland,Estonia,4,0,FIFA World Cup qualification,Zürich,Switzerland,False,2
18075,1993-11-17,Wales,Romania,1,2,FIFA World Cup qualification,Cardiff,Wales,False,2
18076,1993-11-22,Gambia,Mauritania,2,4,Friendly,Banjul,Gambia,False,2
18077,1993-11-26,Gambia,Ghana,3,0,Friendly,Freetown,Sierra Leone,True,2
18078,1993-11-26,Sierra Leone,Guinea,1,1,Amílcar Cabral Cup,Freetown,Sierra Leone,False,2
18079,1993-11-27,Guinea-Bissau,Mauritania,1,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18080,1993-11-27,Senegal,Mali,0,1,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18081,1993-11-28,Guinea,Gambia,1,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18082,1993-11-28,Sierra Leone,Ghana,2,3,Friendly,Freetown,Sierra Leone,False,2
18083,1993-11-29,Mali,Guinea-Bissau,3,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18084,1993-11-29,Senegal,Mauritania,4,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18085,1993-11-30,Ghana,Guinea,1,0,Friendly,Freetown,Sierra Leone,True,2
18086,1993-11-30,Sierra Leone,Gambia,1,1,Amílcar Cabral Cup,Freetown,Sierra Leone,False,2
18087,1993-11-30,Tahiti,Fiji,3,0,Friendly,Papeete,French Polynesia,False,2
18088,1993-12-01,Kenya,Uganda,2,1,Friendly,Nairobi,Kenya,False,2
18089,1993-12-01,Mali,Mauritania,0,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18090,1993-12-01,Senegal,Guinea-Bissau,0,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18091,1993-12-03,Gambia,Senegal,0,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18092,1993-12-03,Sierra Leone,Mali,2,0,Amílcar Cabral Cup,Freetown,Sierra Leone,False,2
18093,1993-12-05,Gambia,Mali,2,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True,2
18094,1993-12-05,Sierra Leone,Senegal,2,0,Amílcar Cabral Cup,Freetown,Sierra Leone,False,2
18096,1993-12-06,Tanzania,Uganda,1,0,Friendly,Nairobi,Kenya,True,2
18098,1993-12-10,Kenya,Tanzania,2,1,Friendly,Nairobi,Kenya,False,2
18099,1993-12-15,Argentina,Germany,2,1,Friendly,Miami,United States,True,2
18100,1993-12-16,Mexico,Brazil,0,1,Friendly,Guadalajara,Mexico,False,2
18103,1993-12-22,Mexico,Germany,0,0,Friendly,Mexico City,Mexico,False,2
18105,1993-12-29,Ghana,Egypt,0,0,Friendly,Accra,Ghana,False,2
18106,1993-12-31,Ghana,Tunisia,1,1,Friendly,Accra,Ghana,False,2
18107,1994-01-02,Barbados,Grenada,0,0,Friendly,Bridgetown,Barbados,False,2
18108,1994-01-02,Ghana,Egypt,2,1,Friendly,Accra,Ghana,False,2
18109,1994-01-05,Mali,Burkina Faso,1,1,Friendly,Bamako,Mali,False,2
18110,1994-01-09,Mauritania,Mali,1,3,Friendly,Nouakchott,Mauritania,False,2
18111,1994-01-11,Thailand,Nigeria,1,1,Friendly,Bangkok,Thailand,False,2
18114,1994-01-19,Costa Rica,Norway,0,0,Friendly,San Diego,United States,True,2
18115,1994-01-19,Mexico,Bulgaria,1,1,Friendly,San Diego,United States,True,2
18116,1994-01-19,Spain,Portugal,2,2,Friendly,Vigo,Spain,False,2
18118,1994-01-19,Tunisia,Netherlands,2,2,Friendly,Tunis,Tunisia,False,2
18121,1994-01-23,Barbados,Puerto Rico,0,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,2
18122,1994-01-23,Mali,Senegal,1,0,Friendly,Bamako,Mali,False,2
18123,1994-01-23,Saudi Arabia,China PR,1,0,Friendly,Riyadh,Saudi Arabia,False,2
18124,1994-01-23,Suriname,Guyana,2,0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False,2
18125,1994-01-25,Grenada,Puerto Rico,1,0,CFU Caribbean Cup qualification,Bridgetown,Barbados,True,2
18126,1994-01-25,Qatar,Finland,1,0,Friendly,Doha,Qatar,False,2
18127,1994-01-26,Mexico,Switzerland,1,5,Friendly,Oakland,United States,True,2
18128,1994-01-26,Saudi Arabia,China PR,1,1,Friendly,Riyadh,Saudi Arabia,False,2
18129,1994-01-27,Barbados,Grenada,3,2,CFU Caribbean Cup qualification,Bridgetown,Barbados,False,2
18130,1994-01-27,Qatar,Finland,0,0,Friendly,Doha,Qatar,False,2
18131,1994-01-28,Venezuela,Colombia,1,2,Friendly,Barinas,Venezuela,False,2
18132,1994-01-29,Burkina Faso,Guinea,1,1,Friendly,Ouagadougou,Burkina Faso,False,2
18136,1994-01-30,Guinea,Niger,1,3,Friendly,Ouagadougou,Burkina Faso,True,2
18137,1994-01-30,Oman,Finland,0,2,Friendly,Muscat,Oman,False,2
18138,1994-01-30,Senegal,Mali,0,0,Friendly,Dakar,Senegal,False,2
18139,1994-02-01,Oman,Finland,1,1,Friendly,Muscat,Oman,False,2
18140,1994-02-02,Egypt,Morocco,1,1,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,True,2
18141,1994-02-02,Mexico,Russia,1,4,Friendly,Oakland,United States,True,2
18142,1994-02-02,United Arab Emirates,Slovakia,0,1,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,False,2
18143,1994-02-04,Egypt,Slovakia,1,0,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,True,2
18144,1994-02-04,Oman,Kenya,1,0,Friendly,Muscat,Oman,False,2
18145,1994-02-04,United Arab Emirates,Morocco,1,1,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,False,2
18146,1994-02-06,Morocco,Slovakia,2,1,United Arab Emirates Friendship Tournament,Sharjah,United Arab Emirates,True,2
18147,1994-02-06,Oman,Kenya,2,0,Friendly,Muscat,Oman,False,2
18148,1994-02-06,Saudi Arabia,Colombia,1,1,Friendly,Jeddah,Saudi Arabia,False,2
18149,1994-02-06,United Arab Emirates,Egypt,0,1,United Arab Emirates Friendship Tournament,Dubai,United Arab Emirates,False,2
18150,1994-02-07,Gambia,Senegal,0,0,Friendly,Banjul,Gambia,False,2
18151,1994-02-08,Georgia,Slovenia,0,1,Malta International Tournament,Attard,Malta,True,2
18152,1994-02-08,Malta,Tunisia,1,1,Malta International Tournament,Attard,Malta,False,2
18153,1994-02-09,Spain,Poland,1,1,Friendly,Santa Cruz de Tenerife,Spain,False,2
18154,1994-02-10,Malta,Georgia,0,1,Malta International Tournament,Attard,Malta,False,2
18155,1994-02-10,Slovenia,Tunisia,2,2,Malta International Tournament,Attard,Malta,True,2
18156,1994-02-12,Georgia,Tunisia,2,0,Malta International Tournament,Attard,Malta,True,2
18157,1994-02-12,Malawi,Zambia,0,3,Friendly,Blantyre,Malawi,False,2
18158,1994-02-12,Malta,Slovenia,0,1,Malta International Tournament,Attard,Malta,False,2
18159,1994-02-13,Malawi,Zambia,0,2,Friendly,Blantyre,Malawi,False,2
18161,1994-02-16,Italy,France,0,1,Friendly,Naples,Italy,False,2
18163,1994-02-16,Malta,Belgium,1,0,Friendly,Attard,Malta,False,2
18164,1994-02-18,Colombia,Sweden,0,0,Friendly,Miami,United States,True,2
18166,1994-02-20,Bolivia,Colombia,0,2,Friendly,Miami,United States,True,2
18168,1994-02-23,Dominica,Antigua and Barbuda,3,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,2
18169,1994-02-23,Israel,Georgia,2,0,Friendly,Ashdod,Israel,False,2
18170,1994-02-23,Mali,Ghana,0,0,Friendly,Bamako,Mali,False,2
18171,1994-02-23,Morocco,Finland,0,0,Friendly,Casablanca,Morocco,False,2
18173,1994-02-23,Turkey,Czech Republic,1,4,Friendly,Istanbul,Turkey,False,2
18174,1994-02-24,Mexico,Sweden,2,1,Friendly,Fresno,United States,True,2
18175,1994-02-25,Antigua and Barbuda,Montserrat,8,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True,2
18178,1994-02-26,Zimbabwe,Zambia,2,2,Friendly,Harare,Zimbabwe,False,2
18179,1994-02-27,Gabon,Senegal,0,0,Friendly,Moanda,Gabon,False,2
18180,1994-03-02,Cayman Islands,British Virgin Islands,5,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False,2
18182,1994-03-02,Mexico,Colombia,0,0,Friendly,Mexico City,Mexico,False,2
18185,1994-03-04,Jamaica,British Virgin Islands,12,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,True,2
18187,1994-03-06,Cayman Islands,Jamaica,3,2,CFU Caribbean Cup qualification,West Bay,Cayman Islands,False,2
18190,1994-03-09,Cyprus,Estonia,2,0,Friendly,Paralímni,Cyprus,False,2
18191,1994-03-09,England,Denmark,1,0,Friendly,London,England,False,2
18192,1994-03-09,Hungary,Switzerland,1,2,Friendly,Budapest,Hungary,False,2
18193,1994-03-09,Nigeria,Ghana,0,0,Friendly,Lagos,Nigeria,False,2
18194,1994-03-09,Wales,Norway,1,3,Friendly,Cardiff,Wales,False,2
18195,1994-03-10,Dominican Republic,Haiti,0,1,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False,2
18198,1994-03-12,Zambia,Zimbabwe,2,1,Friendly,Lusaka,Zambia,False,2
18200,1994-03-15,Israel,Ukraine,1,0,Friendly,Haifa,Israel,False,2
18201,1994-03-16,Egypt,Cameroon,0,0,Friendly,Cairo,Egypt,False,2
18202,1994-03-17,Tunisia,Niger,4,2,Friendly,Tunis,Tunisia,False,2
18203,1994-03-19,Angola,Gabon,2,1,Friendly,Luanda,Angola,False,2
18204,1994-03-22,France,Chile,3,1,Friendly,Lyon,France,False,2
18205,1994-03-23,Austria,Hungary,1,1,Friendly,Linz,Austria,False,2
18206,1994-03-23,Brazil,Argentina,2,0,Friendly,Recife,Brazil,False,2
18207,1994-03-23,Germany,Italy,2,1,Friendly,Stuttgart,Germany,False,2
18208,1994-03-23,Greece,Poland,0,0,Friendly,Salonica,Greece,False,2
18209,1994-03-23,Republic of Ireland,Russia,0,0,Friendly,Dublin,Republic of Ireland,False,2
18210,1994-03-23,Luxembourg,Morocco,1,2,Friendly,Luxembourg,Luxembourg,False,2
18212,1994-03-23,Northern Ireland,Romania,2,0,Friendly,Belfast,Northern Ireland,False,2
18213,1994-03-23,Scotland,Netherlands,0,1,Friendly,Glasgow,Scotland,False,2
18214,1994-03-23,Spain,Croatia,0,2,Friendly,Valencia,Spain,False,2
18215,1994-03-26,Nigeria,Gabon,3,0,African Cup of Nations,Tunis,Tunisia,True,2
18216,1994-03-26,Saudi Arabia,Chile,0,2,Friendly,Riyadh,Saudi Arabia,False,2
18217,1994-03-26,Tunisia,Mali,0,2,African Cup of Nations,Tunis,Tunisia,False,2
18219,1994-03-27,Ghana,Guinea,1,0,African Cup of Nations,Sousse,Tunisia,True,2
18221,1994-03-28,Egypt,Gabon,4,0,African Cup of Nations,Tunis,Tunisia,True,2
18223,1994-03-29,Senegal,Guinea,2,1,African Cup of Nations,Sousse,Tunisia,True,2
18224,1994-03-29,Zambia,Sierra Leone,0,0,African Cup of Nations,Sousse,Tunisia,True,2
18225,1994-03-30,Malta,Slovakia,1,2,Friendly,Attard,Malta,False,2
18226,1994-03-30,Nigeria,Egypt,0,0,African Cup of Nations,Tunis,Tunisia,True,2
18228,1994-03-31,Ghana,Senegal,1,0,African Cup of Nations,Sousse,Tunisia,True,2
18231,1994-04-02,Egypt,Mali,0,1,African Cup of Nations,Tunis,Tunisia,True,2
18233,1994-04-03,Zambia,Senegal,1,0,African Cup of Nations,Sousse,Tunisia,True,2
18234,1994-04-06,Hungary,Slovenia,0,1,Friendly,Szombathely,Hungary,False,2
18236,1994-04-06,Zambia,Mali,4,0,African Cup of Nations,Tunis,Tunisia,True,2
18237,1994-04-07,Cayman Islands,Haiti,2,3,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True,2
18238,1994-04-07,Colombia,Bolivia,0,1,Friendly,Villavicencio,Colombia,False,2
18241,1994-04-09,Suriname,Cayman Islands,2,0,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True,2
18243,1994-04-10,Nigeria,Zambia,2,1,African Cup of Nations,Tunis,Tunisia,True,2
18244,1994-04-11,Kazakhstan,Tajikistan,1,0,Friendly,Tashkent,Uzbekistan,True,2
18246,1994-04-11,Suriname,Haiti,1,1,CFU Caribbean Cup,San Fernando,Trinidad and Tobago,True,2
18247,1994-04-11,Uzbekistan,Turkmenistan,4,0,Friendly,Tashkent,Uzbekistan,False,2
18249,1994-04-13,Poland,Saudi Arabia,1,0,Friendly,Cannes,France,True,2
18250,1994-04-13,Uzbekistan,Kazakhstan,1,0,Friendly,Tashkent,Uzbekistan,False,2
18252,1994-04-14,Trinidad and Tobago,Suriname,3,2,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,2
18253,1994-04-15,Kazakhstan,Turkmenistan,0,0,Friendly,Tashkent,Uzbekistan,True,2
18255,1994-04-15,Oman,Bulgaria,1,1,Friendly,Muscat,Oman,False,2
18257,1994-04-17,Colombia,Nigeria,1,0,Friendly,Armenia,Colombia,False,2
18261,1994-04-17,Uzbekistan,Tajikistan,1,1,Friendly,Tashkent,Uzbekistan,False,2
18262,1994-04-18,Tunisia,Saudi Arabia,2,0,Friendly,Tunis,Tunisia,False,2
18263,1994-04-19,Malta,Azerbaijan,5,0,Friendly,Attard,Malta,False,2
18264,1994-04-19,Tajikistan,Turkmenistan,0,2,Friendly,Tashkent,Uzbekistan,True,2
18266,1994-04-20,Argentina,Morocco,3,1,Friendly,Salta,Argentina,False,2
18267,1994-04-20,Austria,Scotland,1,2,Friendly,Vienna,Austria,False,2
18268,1994-04-20,Denmark,Hungary,3,1,Friendly,Copenhagen,Denmark,False,2
18269,1994-04-20,Iceland,Saudi Arabia,0,2,Friendly,Toulon,France,True,2
18270,1994-04-20,Lithuania,Israel,1,1,Friendly,Vilnius,Lithuania,False,2
18271,1994-04-20,Netherlands,Republic of Ireland,0,1,Friendly,Tilburg,Netherlands,False,2
18272,1994-04-20,Northern Ireland,Liechtenstein,4,1,UEFA Euro qualification,Belfast,Northern Ireland,False,2
18273,1994-04-20,Norway,Portugal,0,0,Friendly,Oslo,Norway,False,2
18274,1994-04-20,Romania,Bolivia,3,0,Friendly,Bucharest,Romania,False,2
18275,1994-04-20,Slovakia,Croatia,4,1,Friendly,Bratislava,Slovakia,False,2
18276,1994-04-20,Switzerland,Czech Republic,3,0,Friendly,Zürich,Switzerland,False,2
18277,1994-04-20,Turkey,Russia,0,1,Friendly,Bursa,Turkey,False,2
18279,1994-04-20,Wales,Sweden,0,2,Friendly,Wrexham,Wales,False,2
18281,1994-04-24,South Africa,Zimbabwe,1,0,Friendly,Mafikeng,South Africa,False,2
18283,1994-04-27,Greece,Saudi Arabia,5,1,Friendly,Athens,Greece,False,2
18284,1994-04-27,Slovenia,Cyprus,3,0,Friendly,Maribor,Slovenia,False,2
18285,1994-04-27,United Arab Emirates,Germany,0,2,Friendly,Abu Dhabi,United Arab Emirates,False,2
18286,1994-04-28,Kuwait,Bulgaria,2,2,Friendly,Kuwait City,Kuwait,False,2
18290,1994-05-03,Colombia,Peru,1,0,Friendly,Miami,United States,True,2
18291,1994-05-03,El Salvador,Honduras,3,1,Friendly,Miami,United States,True,2
18293,1994-05-04,Bolivia,Saudi Arabia,1,0,Friendly,Cannes,France,True,2
18294,1994-05-04,Brazil,Iceland,3,0,Friendly,Florianópolis,Brazil,False,2
18295,1994-05-04,Poland,Hungary,3,2,Friendly,Cracow,Poland,False,2
18296,1994-05-05,Colombia,El Salvador,3,0,Friendly,Miami,United States,True,2
18297,1994-05-05,Honduras,Peru,2,1,Friendly,Miami,United States,True,2
18298,1994-05-05,Sweden,Nigeria,3,1,Friendly,Solna,Sweden,False,2
