,duration,has_event,turns_since_shuffle
300,18,1,46
301,19,1,4
302,14,1,11
303,1,1,3
304,1,1,10
305,2,1,16
306,4,1,36
307,26,0,0
308,21,1,29
309,18,1,21
310,20,1,21
311,26,0,31
312,26,0,7
313,11,1,23
314,8,1,25
315,17,1,3
316,16,1,18
317,10,1,32
318,8,1,29
319,26,0,26
320,12,1,7
321,5,1,3
322,5,1,39
323,8,1,17
324,21,1,9
325,1,1,13
326,26,0,20
327,4,1,16
328,18,1,14
329,2,1,25
330,26,0,18
331,26,0,4
332,6,1,6
333,22,1,4
334,24,1,2
335,12,1,7
336,26,0,35
337,26,0,13
338,26,0,22
339,26,0,5
340,4,1,18
341,0,1,22
342,26,0,0
343,3,1,3
344,26,0,21
345,18,1,15
346,26,0,9
347,16,1,23
348,7,1,3
349,24,1,8918
350,22,1,44
351,26,0,4
352,4,1,5
353,23,1,5
354,16,1,29
355,26,0,5964
356,26,0,21
357,12,1,2599
358,26,0,36
359,22,1,48
360,10,1,17
361,16,1,2719
362,26,0,24
363,1,1,7
364,8,1,15
365,24,1,42
366,18,1,21
367,7,1,33
368,26,0,1
369,24,1,13
370,26,0,9
371,19,1,14
372,12,1,24
373,21,1,1
374,24,1,33
375,4,1,11
376,5,1,33
377,1,1,4
378,9,1,40
379,1,1,7995
380,1,1,16
381,23,1,5
382,0,1,35
383,26,0,6
384,26,0,1
385,13,1,10
386,26,0,2
387,17,1,32
388,23,1,9
389,6,1,13
390,0,1,3
391,4,1,4
392,23,1,26
393,15,1,8
394,1,1,7
395,0,1,8
396,14,1,6
397,16,1,20
398,13,1,1
399,4,1,14
400,8,1,3
401,13,1,30
402,11,1,28
403,0,1,17
404,3,1,15
405,12,1,10
406,26,0,5
407,14,1,12
408,1,1,1
409,25,1,22
410,10,1,2
411,26,0,22
412,18,1,26
413,5,1,20
414,4,1,3
415,25,1,31
416,9,1,37
417,15,1,16
418,26,0,14
419,17,1,10
420,26,0,6
421,5,1,7
422,10,1,3
423,8,1,22
424,8,1,15
425,12,1,20
426,26,0,19
427,11,1,6
428,26,0,12
429,2,1,20
430,6,1,46
431,8,1,27
432,18,1,1
433,8,1,10
434,26,0,11
435,4,1,9
436,17,1,20
437,9,1,45
438,23,1,34
439,8,1,696
440,7,1,20
441,26,0,21
442,3,1,30
443,22,1,5
444,20,1,25
445,4,1,31
446,25,1,6
447,16,1,15
448,2,1,26
449,14,1,11
450,16,1,9
451,22,1,21
452,5,1,35
453,21,1,9
454,22,1,41
455,26,0,6
456,26,0,17
457,26,0,3
458,16,1,14
459,17,1,36
460,26,0,45
461,26,0,14
462,20,1,17
463,17,1,17
464,19,1,29
465,26,0,0
466,26,0,3
467,14,1,40
468,26,0,12
469,26,0,8
470,20,1,4
471,26,0,32
472,14,1,0
473,26,0,3
474,24,1,30
475,26,0,4
476,26,0,18
477,4,1,13
478,6,1,10
479,17,1,4
480,26,0,16
481,26,0,13
482,8,1,7
483,26,0,15
484,26,0,0
485,10,1,15
486,2,1,28
487,26,0,17
488,14,1,1930
489,26,0,22
490,11,1,11
491,3,1,12
492,26,0,7
493,26,0,10
494,16,1,1
495,26,0,13
496,20,1,5
497,26,0,28
498,16,1,19
499,4,1,6
500,26,0,9012
501,26,0,5
502,26,0,22
503,2,1,19
504,14,1,4
505,26,0,24
506,26,0,6
507,13,1,8
508,26,0,42
509,4,1,21
510,10,1,2
511,13,1,7
512,23,1,6
513,24,1,6470
514,1,1,24
515,3,1,12
516,22,1,8
517,7,1,19
518,4,1,22
519,26,0,15
520,26,0,24
521,1,1,2
522,26,0,32
523,13,1,16
524,9,1,27
525,13,1,27
526,26,0,14
527,26,0,6
528,26,0,0
529,10,1,11
530,2,1,9
531,18,1,42
532,14,1,37
533,4,1,31
534,15,1,6993
535,26,0,18
536,5,1,24
537,3,1,27
538,26,0,28
539,26,0,46
540,2,1,6
541,2,1,12
542,8,1,28
543,26,0,3
544,26,0,8
545,26,0,12
546,21,1,22
547,11,1,9
548,26,0,10
549,6,1,15
550,1,1,15
551,26,0,2
552,22,1,29
553,15,1,0
554,11,1,3
555,13,1,6941
556,26,0,14
557,22,1,1
558,25,1,13
559,1,1,9
560,26,0,13
561,11,1,28
562,15,1,2
563,22,1,11
564,3,1,43
565,3,1,7
566,26,0,12
567,3,1,0
568,17,1,8
569,0,1,9
570,7,1,36
571,10,1,15
572,14,1,1
573,16,1,7
574,26,0,736
575,23,1,45
576,8,1,13
577,26,0,23
578,26,0,2
579,18,1,37
580,26,0,3561
581,7,1,18
582,7,1,18
583,26,0,13
584,7,1,8
585,22,1,16
586,21,1,2
587,22,1,0
588,1,1,10
589,24,1,10
590,11,1,13
591,13,1,6
592,26,0,25
593,13,1,3
594,13,1,22
595,26,0,27
596,26,0,1
597,26,0,25
598,21,1,26
599,26,0,1
600,13,1,7
601,3,1,3
602,8,1,21
603,11,1,6
604,26,0,10
605,26,0,22
606,26,0,2757
607,19,1,22
608,6,1,28
609,3,1,14
610,19,1,22
611,26,0,4
612,9,1,1
613,12,1,13
614,25,1,4
615,26,0,16
616,26,0,47
617,3,1,9
618,12,1,6
619,26,0,12
620,26,0,6
621,4,1,8280
622,24,1,3
623,26,0,24
624,23,1,3
625,16,1,10
626,26,0,8
627,5,1,34
628,10,1,6
629,5,1,4
630,24,1,15
631,26,0,21
632,24,1,34
633,12,1,11
634,2,1,10
635,8,1,0
636,26,0,42
637,16,1,5
638,26,0,15
639,13,1,22
640,11,1,38
641,2,1,29
642,15,1,13
643,9,1,10
644,26,0,4
645,26,0,8
646,13,1,20
647,9,1,21
648,8,1,27
649,13,1,13
650,20,1,11
651,12,1,1
652,10,1,3209
653,24,1,33
654,13,1,19
655,26,0,24
656,16,1,3
657,19,1,5
658,26,0,6
659,19,1,15
660,23,1,21
661,21,1,2
662,11,1,10
663,24,1,34
664,25,1,11
665,8,1,19
666,19,1,8
667,24,1,5
668,1,1,12
669,9,1,13
670,25,1,2
671,7,1,27
672,15,1,14
673,3,1,28
674,5,1,40
675,22,1,11
676,15,1,2
677,26,0,2577
678,10,1,6
679,12,1,15
680,0,1,1
681,26,0,41
682,26,0,5
683,10,1,35
684,26,0,6
685,24,1,40
686,18,1,15
687,26,0,14
688,10,1,2139
689,26,0,1
690,26,0,21
691,23,1,27
692,4,1,15
693,3,1,15
694,26,0,4
695,5,1,37
696,26,0,2
697,26,0,10
698,21,1,3
699,2,1,2
700,26,0,4
701,26,0,4
702,3,1,3
703,7,1,8
704,7,1,8
705,22,1,3
706,1,1,0
707,13,1,46
708,26,0,10
709,26,0,7
710,13,1,8
711,14,1,2550
712,12,1,6
713,7,1,6
714,26,0,2
715,6,1,14
716,26,0,30
717,1,1,41
718,20,1,25
719,26,0,8
720,7,1,13
721,6,1,32
722,3,1,33
723,26,0,34
724,15,1,8806
725,6,1,0
726,26,0,1
727,17,1,40
728,1,1,16
729,20,1,14
730,9,1,14
731,8,1,24
732,15,1,13
733,6,1,25
734,1,1,3
735,11,1,16
736,26,0,8
737,1,1,24
738,13,1,6
739,26,0,1
740,14,1,7
741,26,0,35
742,11,1,1
743,16,1,15
744,26,0,19
745,26,0,32
746,11,1,0
747,26,0,16
748,15,1,12
749,21,1,1
750,26,0,18
751,14,1,11
752,0,1,24
753,13,1,39
754,9,1,6
755,12,1,2
756,26,0,0
757,26,0,8
758,5,1,9504
759,15,1,0
760,19,1,34
761,6,1,11
762,23,1,8
763,26,0,5
764,17,1,0
765,12,1,3934
766,8,1,7546
767,8,1,31
768,14,1,37
769,20,1,5
770,21,1,4
771,26,0,14
772,14,1,3
773,11,1,22
774,26,0,6
775,3,1,42
776,26,0,5
777,22,1,38
778,26,0,35
779,6,1,28
780,10,1,1
781,20,1,1
782,5,1,29
783,6,1,35
784,3,1,19
785,26,0,20
786,8,1,11
787,14,1,10
788,26,0,11
789,26,0,5
790,7,1,6
791,6,1,38
792,7,1,7
793,17,1,5
794,9,1,1
795,5,1,29
796,12,1,5
797,4,1,13
798,24,1,3
799,26,0,36
800,2,1,7
801,26,0,32
802,11,1,0
803,26,0,19
804,14,1,20
805,0,1,14
806,14,1,24
807,0,1,8
808,4,1,8
809,6,1,14
810,14,1,6
811,26,0,5630
812,9,1,21
813,7,1,1
814,3,1,1
815,3,1,23
816,26,0,7
817,14,1,26
818,6,1,21
819,15,1,29
820,26,0,24
821,18,1,50
822,12,1,0
823,4,1,11
824,26,0,12
825,14,1,35
826,3,1,5
827,11,1,18
828,1,1,32
829,20,1,41
830,12,1,8
831,5,1,30
832,26,0,9
833,10,1,9
834,5,1,29
835,14,1,7
836,26,0,1
837,25,1,8
838,17,1,32
839,19,1,25
840,0,1,2
841,14,1,23
842,9,1,13
843,14,1,13
844,2,1,28
845,9,1,25
846,12,1,34
847,9,1,14
848,19,1,4
849,22,1,29
850,26,0,6415
851,1,1,13
852,1,1,42
853,22,1,1866
854,8,1,8
855,0,1,25
856,16,1,35
857,12,1,18
858,12,1,11
859,15,1,0
860,22,1,33
861,1,1,3
862,8,1,10
863,20,1,12
864,26,0,19
865,17,1,14
866,26,0,4
867,9,1,7
868,26,0,24
869,26,0,19
870,26,0,1
871,16,1,5
872,18,1,26
873,26,0,23
874,17,1,13
875,26,0,11
876,25,1,16
877,17,1,11
878,10,1,2
879,9,1,15
880,22,1,2054
881,26,0,2
882,16,1,14
883,6,1,13
884,26,0,26
885,1,1,10
886,12,1,2488
887,9,1,21
888,6,1,6
889,24,1,5
890,26,0,12
891,1,1,3
892,9,1,4
893,26,0,26
894,9,1,28
895,14,1,3
896,9,1,12
897,25,1,9
898,26,0,10
899,7,1,2
900,0,1,10
901,16,1,28
902,1,1,35
903,1,1,4
904,5,1,5
905,3,1,21
906,26,0,14
907,19,1,2
908,5,1,47
909,21,1,0
910,24,1,20
911,26,0,42
912,13,1,40
913,19,1,28
914,17,1,1
915,10,1,18
916,3,1,0
917,26,0,20
918,17,1,6
919,5,1,21
920,1,1,21
921,22,1,0
922,12,1,1
923,26,0,26
924,25,1,4
925,15,1,13
926,26,0,4
927,3,1,5
928,26,0,39
929,26,0,46
930,16,1,12
931,0,1,5
932,26,0,3
933,11,1,34
934,26,0,31
935,26,0,28
936,24,1,43
937,26,0,0
938,21,1,17
939,24,1,2
940,26,0,3
941,1,1,8
942,26,0,16
943,26,0,3
944,1,1,8
945,26,0,22
946,26,0,21
947,26,0,24
948,26,0,33
949,26,0,10
950,8,1,8
951,5,1,40
952,16,1,16
953,26,0,9
954,26,0,33
955,0,1,7
956,5,1,20
957,4,1,0
958,2,1,14
959,17,1,33
960,14,1,17
961,10,1,15
962,26,0,7
963,12,1,12
964,10,1,25
965,26,0,6
966,16,1,11
967,26,0,24
968,11,1,27
969,18,1,16
970,11,1,2
971,1,1,8
972,26,0,22
973,18,1,26
974,3,1,1
975,16,1,6
976,26,0,31
977,26,0,7
978,3,1,20
979,3,1,3
980,26,0,0
981,10,1,14
982,26,0,7064
983,26,0,12
984,9,1,16
985,1,1,41
986,8,1,0
987,17,1,8
988,10,1,9
989,4,1,7
990,2,1,37
991,21,1,17
992,2,1,36
993,21,1,28
994,24,1,28
995,26,0,24
996,20,1,22
997,26,0,22
998,1,1,7
999,9,1,12
1000,24,1,6
1001,13,1,8
1002,20,1,21
1003,0,1,7
1004,26,0,35
1005,3,1,22
1006,26,0,9
1007,26,0,5
1008,11,1,8746
1009,26,0,16
1010,26,0,17
1011,6,1,9
1012,8,1,3
1013,2,1,4
1014,10,1,6
1015,3,1,3
1016,9,1,3
1017,26,0,0
1018,9,1,16
1019,24,1,46
1020,26,0,2356
1021,17,1,4
1022,14,1,29
1023,9,1,15
1024,21,1,10
1025,26,0,13
1026,26,0,11
1027,6,1,28
1028,26,0,14
1029,4,1,3
1030,12,1,11
1031,15,1,35
1032,8,1,23
1033,10,1,27
1034,1,1,26
1035,13,1,40
1036,16,1,21
1037,3,1,1885
1038,18,1,4
1039,26,0,8681
1040,26,0,23
1041,26,0,14
1042,26,0,29
1043,26,0,25
1044,3,1,30
1045,5,1,11
1046,15,1,5
1047,5,1,7
1048,3,1,3
1049,18,1,24
1050,6,1,3
1051,22,1,6
1052,26,0,11
1053,7,1,12
1054,1,1,19
1055,26,0,43
1056,13,1,12
1057,18,1,16
1058,3,1,18
1059,18,1,4
1060,18,1,38
1061,19,1,33
1062,3,1,39
1063,15,1,11
1064,9,1,14
1065,7,1,2
1066,21,1,38
1067,1,1,15
1068,10,1,27
1069,26,0,8456
1070,11,1,14
1071,10,1,15
1072,14,1,7
1073,7,1,1
1074,26,0,9
1075,0,1,7
1076,9,1,10
1077,26,0,3829
1078,18,1,9728
1079,26,0,12
1080,6,1,4
1081,10,1,40
1082,2,1,46
1083,4,1,7
1084,16,1,20
1085,26,0,21
1086,0,1,20
1087,5,1,5
1088,8,1,33
1089,17,1,3
1090,18,1,18
1091,26,0,9
1092,12,1,17
1093,12,1,5095
1094,19,1,19
1095,7,1,36
1096,26,0,29
1097,6,1,37
1098,23,1,24
1099,7,1,13
1100,1,1,25
1101,16,1,19
1102,26,0,24
1103,10,1,10
1104,9,1,17
1105,12,1,24
1106,24,1,9
1107,21,1,11
1108,26,0,20
1109,13,1,8
1110,26,0,4
1111,7,1,29
1112,26,0,5
1113,26,0,16
1114,19,1,28
1115,26,0,0
1116,12,1,22
1117,8,1,22
1118,4,1,2
1119,10,1,8
1120,26,0,4
1121,24,1,18
1122,8,1,31
1123,5,1,23
1124,5,1,2
1125,26,0,31
1126,18,1,40
1127,20,1,10
1128,26,0,15
1129,3,1,9
1130,14,1,33
1131,20,1,6
1132,26,0,5
1133,26,0,12
1134,25,1,16
1135,26,0,30
1136,1,1,2689
1137,26,0,41
1138,23,1,49
1139,26,0,6
1140,0,1,7
1141,26,0,4
1142,19,1,41
1143,26,0,2
1144,1,1,16
1145,2,1,1
1146,16,1,7014
1147,7,1,5
1148,1,1,29
1149,26,0,11
1150,8,1,14
1151,24,1,22
1152,2,1,30
1153,2,1,0
1154,4,1,18
1155,8,1,21
1156,20,1,35
1157,2,1,3
1158,4,1,1
1159,26,0,17
1160,1,1,9501
1161,0,1,10
1162,16,1,16
1163,26,0,2
1164,1,1,35
1165,26,0,32
1166,7,1,27
1167,26,0,14
1168,17,1,20
1169,19,1,6
1170,14,1,7
1171,15,1,4
1172,11,1,6
1173,26,0,29
1174,26,0,45
1175,26,0,12
1176,0,1,47
1177,26,0,5
1178,15,1,8
1179,26,0,24
1180,1,1,13
1181,7,1,33
1182,26,0,33
1183,3,1,24
1184,24,1,14
1185,26,0,15
1186,26,0,1
1187,8,1,12
1188,14,1,12
1189,26,0,30
1190,19,1,33
1191,2,1,22
1192,18,1,14
1193,26,0,47
1194,26,0,2
1195,5,1,22
1196,26,0,28
1197,26,0,29
1198,20,1,8
1199,26,0,9
1200,16,1,5
1201,19,1,12
1202,23,1,5
1203,11,1,1
1204,0,1,26
1205,26,0,46
1206,23,1,8
1207,26,0,5
1208,14,1,6
1209,22,1,26
1210,7,1,32
1211,20,1,37
1212,12,1,1
1213,5,1,2
1214,26,0,10
1215,26,0,24
1216,23,1,29
1217,2,1,23
1218,3,1,15
1219,2,1,0
1220,11,1,7
1221,19,1,28
1222,5,1,33
1223,4,1,28
1224,18,1,12
1225,17,1,38
1226,0,1,28
1227,14,1,7
1228,12,1,25
1229,5,1,9
1230,22,1,30
1231,22,1,12
1232,19,1,5416
1233,19,1,20
1234,3,1,8
1235,6,1,1156
1236,3,1,14
1237,0,1,20
1238,22,1,18
1239,8,1,9
1240,22,1,47
1241,8,1,14
1242,24,1,14
1243,14,1,31
1244,19,1,40
1245,16,1,7
1246,26,0,36
1247,18,1,6
1248,15,1,8
1249,26,0,6
1250,2,1,19
1251,7,1,3
1252,16,1,7
1253,15,1,14
1254,26,0,3
1255,21,1,1
1256,16,1,17
1257,15,1,25
1258,1,1,32
1259,26,0,34
1260,0,1,45
1261,26,0,14
1262,4,1,15
1263,11,1,19
1264,26,0,4
1265,14,1,25
1266,1,1,2
1267,26,0,18
1268,23,1,12
1269,26,0,20
1270,0,1,22
1271,4,1,29
1272,26,0,6
1273,15,1,21
1274,26,0,19
1275,0,1,2
1276,0,1,28
1277,15,1,6
1278,4,1,12
1279,26,0,8
1280,26,0,7
1281,3,1,35
1282,10,1,13
1283,7,1,26
1284,13,1,30
1285,1,1,2
1286,5,1,31
1287,16,1,17
1288,5,1,1
1289,26,0,5
1290,21,1,18
1291,15,1,8
1292,23,1,6
1293,25,1,4
1294,7,1,16
1295,11,1,19
1296,24,1,14
1297,8,1,26
1298,26,0,6
1299,0,1,42
1300,2,1,17
1301,8,1,13
1302,26,0,10
1303,26,0,9
1304,18,1,14
1305,25,1,23
1306,17,1,23
1307,13,1,0
1308,1,1,19
1309,15,1,5
1310,21,1,9
1311,19,1,20
1312,3,1,39
1313,24,1,10
1314,8,1,5
1315,23,1,13
1316,2,1,8
1317,17,1,9
1318,26,0,9
1319,17,1,0
1320,6,1,22
1321,20,1,35
1322,19,1,14
1323,11,1,8
1324,5,1,37
1325,8,1,41
1326,22,1,23
1327,26,0,17
1328,9,1,14
1329,11,1,2792
1330,25,1,3
1331,26,0,40
1332,26,0,5
1333,15,1,20
1334,26,0,5
1335,9,1,17
1336,6,1,7
1337,7,1,5
1338,15,1,19
1339,26,0,7
1340,26,0,35
1341,26,0,11
1342,17,1,21
1343,8,1,32
1344,5,1,21
1345,16,1,0
1346,1,1,15
1347,9,1,28
1348,26,0,6
1349,1,1,3
1350,25,1,37
1351,17,1,1
1352,7,1,11
1353,26,0,49
1354,1,1,10
1355,19,1,18
1356,7,1,6
1357,2,1,23
1358,13,1,11
1359,15,1,23
1360,26,0,4
1361,11,1,22
1362,2,1,19
1363,0,1,2
1364,7,1,0
1365,21,1,25
1366,12,1,4
1367,16,1,31
1368,26,0,27
1369,0,1,2
1370,11,1,21
1371,2,1,6
1372,16,1,32
1373,21,1,25
1374,1,1,34
1375,0,1,8
1376,19,1,48
1377,4,1,36
1378,25,1,0
1379,5,1,21
1380,14,1,3
1381,22,1,45
1382,0,1,34
1383,11,1,15
1384,26,0,7
1385,20,1,12
1386,26,0,8
1387,12,1,38
1388,6,1,11
1389,1,1,34
1390,26,0,16
1391,16,1,7
1392,26,0,32
1393,8,1,1
1394,15,1,5514
1395,26,0,43
1396,3,1,23
1397,19,1,1
1398,26,0,28
1399,26,0,9
1400,18,1,6
1401,7,1,3
1402,26,0,4
1403,3,1,8
1404,13,1,23
1405,18,1,11
1406,26,0,31
1407,26,0,1
1408,10,1,19
1409,8,1,25
1410,23,1,28
1411,26,0,39
1412,16,1,24
1413,26,0,1
1414,1,1,16
1415,24,1,5
1416,24,1,27
1417,2,1,22
1418,15,1,13
1419,9,1,7
1420,16,1,3
1421,15,1,4
1422,26,0,10
1423,6,1,11
1424,15,1,8703
1425,5,1,3
1426,11,1,0
1427,4,1,29
1428,26,0,5
1429,7,1,27
1430,15,1,4
1431,0,1,13
1432,26,0,1
1433,24,1,10
1434,5,1,24
1435,10,1,28
1436,12,1,24
1437,13,1,22
1438,11,1,18
1439,14,1,12
1440,26,0,11
1441,0,1,3
1442,7,1,30
1443,8,1,37
1444,17,1,22
1445,26,0,9
1446,25,1,39
1447,22,1,30
1448,26,0,34
1449,5,1,6978
1450,11,1,11
1451,5,1,6
1452,13,1,32
1453,19,1,16
1454,10,1,12
1455,26,0,6
1456,5,1,15
1457,22,1,20
1458,9,1,4
1459,21,1,7885
1460,3,1,30
1461,26,0,21
1462,24,1,33
1463,26,0,11
1464,1,1,3
1465,16,1,24
1466,26,0,6
1467,17,1,21
1468,26,0,2
1469,26,0,34
1470,8,1,22
1471,26,0,17
1472,14,1,11
1473,26,0,0
1474,26,0,33
1475,5,1,3
1476,26,0,17
1477,25,1,19
1478,26,0,41
1479,2,1,1
1480,16,1,4
1481,19,1,12
1482,3,1,35
1483,18,1,13
1484,23,1,4095
1485,21,1,14
1486,26,0,19
1487,1,1,0
1488,18,1,25
1489,6,1,1
1490,26,0,2
1491,14,1,3
1492,21,1,7
1493,24,1,34
1494,4,1,25
1495,6,1,20
1496,14,1,12
1497,26,0,23
1498,26,0,9
1499,26,0,45
1500,7,1,10
1501,19,1,27
1502,26,0,10
1503,26,0,16
1504,26,0,3
1505,0,1,5
1506,5,1,38
1507,13,1,7893
1508,8,1,1
1509,11,1,26
1510,21,1,18
1511,0,1,36
1512,18,1,2
1513,23,1,3013
1514,23,1,17
1515,26,0,8219
1516,3,1,46
1517,17,1,29
1518,20,1,3
1519,26,0,5
1520,1,1,9
1521,16,1,23
1522,14,1,33
1523,2,1,3
1524,7,1,5
1525,26,0,47
1526,0,1,38
1527,23,1,2
1528,26,0,2
1529,15,1,20
1530,4,1,6
1531,12,1,39
1532,24,1,36
1533,2,1,26
1534,11,1,38
1535,26,0,7
1536,26,0,29
1537,26,0,18
1538,15,1,27
1539,26,0,2
1540,16,1,18
1541,2,1,42
1542,12,1,21
1543,3,1,4
1544,7,1,6
1545,9,1,2745
1546,14,1,33
1547,26,0,37
1548,26,0,2
1549,14,1,18
1550,1,1,8130
1551,6,1,14
1552,26,0,23
1553,26,0,8
1554,6,1,33
1555,18,1,3
1556,26,0,6
1557,17,1,32
1558,21,1,4
1559,9,1,1
1560,6,1,5
1561,0,1,27
1562,10,1,15
1563,15,1,0
1564,26,0,3
1565,26,0,5
1566,16,1,6
1567,21,1,28
1568,26,0,10
1569,26,0,38
1570,19,1,4
1571,26,0,20
1572,26,0,6
1573,7,1,7
1574,26,0,14
1575,26,0,17
1576,22,1,11
1577,26,0,9825
1578,26,0,3
1579,10,1,4
1580,12,1,13
1581,21,1,15
1582,1,1,8
1583,2,1,39
1584,26,0,8
1585,1,1,25
1586,9,1,42
1587,2,1,16
1588,12,1,14
1589,22,1,21
1590,18,1,26
1591,6,1,14
1592,26,0,8
1593,0,1,6
1594,26,0,9
1595,1,1,26
1596,26,0,6837
1597,13,1,35
1598,19,1,30
1599,26,0,2995
1600,20,1,17
1601,26,0,24
1602,7,1,4247
1603,14,1,27
1604,26,0,5
1605,12,1,10
1606,17,1,25
1607,2,1,5
1608,22,1,28
1609,25,1,13
1610,11,1,9612
1611,26,0,5986
1612,6,1,9300
1613,13,1,26
1614,17,1,33
1615,11,1,21
1616,15,1,19
1617,0,1,17
1618,26,0,21
1619,26,0,38
1620,13,1,25
1621,26,0,17
1622,25,1,3
1623,0,1,7093
1624,0,1,15
1625,11,1,7
1626,26,0,0
1627,13,1,20
1628,2,1,9
1629,14,1,24
1630,9,1,21
1631,7,1,18
1632,26,0,3
1633,11,1,5518
1634,11,1,9
1635,19,1,2
1636,5,1,8
1637,14,1,24
1638,12,1,0
1639,1,1,6
1640,2,1,2
1641,25,1,3
1642,26,0,8
1643,20,1,8
1644,14,1,10
1645,26,0,33
1646,2,1,43
1647,4,1,33
1648,26,0,24
1649,1,1,28
1650,12,1,2280
1651,5,1,17
1652,26,0,18
1653,10,1,15
